fecha,visita,casa,abridor_v,abridor_c,lam_v,lam_c,total_esp,p_casa,p_over75,p_over85,p_over95,total_f5,p_casa_f5,p_empate_f5,p_visita_f5,p_over45_f5,rl_casa_f5,rl_visita_f5
06/10/2026,Chicago Cubs,Colorado Rockies,Shota Imanaga,Michael Lorenzen,6.09,6.13,12.22,0.506,0.917,0.856,0.771,,,,,,,
06/10/2026,Milwaukee Brewers,Athletics,Brandon Sproat,Jack Perkins,5.10,5.79,10.89,0.586,0.847,0.756,0.648,,,,,,,
06/10/2026,Houston Astros,Los Angeles Angels,Peter Lambert,Reid Detmers,3.60,4.40,8.00,0.615,0.545,0.404,0.281,,,,,,,
06/10/2026,Houston Astros,Los Angeles Angels,Peter Lambert,Reid Detmers,3.60,4.40,8.00,0.615,0.545,0.404,0.281,,,,,,,
06/14/2026,Miami Marlins,Pittsburgh Pirates,Max Meyer,Paul Skenes,3.29,4.53,7.82,0.676,0.518,0.390,0.268,,,,,,,
06/14/2026,San Diego Padres,Baltimore Orioles,Walker Buehler,Trevor Rogers,4.12,4.38,8.50,0.543,0.618,0.480,0.347,,,,,,,
06/14/2026,Seattle Mariners,Washington Nationals,Emerson Hancock,PJ Poulin,5.02,5.29,10.32,0.536,0.804,0.698,0.579,,,,,,,
06/14/2026,New York Yankees,Toronto Blue Jays,Will Warren,Patrick Corbin,5.38,3.73,9.11,0.287,0.690,0.565,0.433,,,,,,,
06/14/2026,Arizona Diamondbacks,Cincinnati Reds,Zac Gallen,Andrew Abbott,4.90,5.06,9.96,0.522,0.777,0.666,0.537,,,,,,,
06/14/2026,Detroit Tigers,Cleveland Guardians,Casey Mize,Gavin Williams,3.71,3.07,6.79,0.396,0.375,0.250,0.149,,,,,,,
06/14/2026,Atlanta Braves,New York Mets,Bryce Elder,Freddy Peralta,4.99,3.67,8.67,0.325,0.638,0.505,0.375,,,,,,,
06/14/2026,Houston Astros,Kansas City Royals,Spencer Arrighetti,Stephen Kolek,4.60,4.24,8.84,0.454,0.661,0.526,0.396,,,,,,,
06/14/2026,St. Louis Cardinals,Minnesota Twins,Michael McGreevy,Taj Bradley,4.61,4.93,9.54,0.546,0.742,0.618,0.492,,,,,,,
06/14/2026,Los Angeles Dodgers,Chicago White Sox,Emmet Sheehan,Bryan Hudson,4.95,5.22,10.17,0.536,0.789,0.684,0.566,,,,,,,
06/14/2026,Philadelphia Phillies,Milwaukee Brewers,Cristopher Sánchez,Kyle Harrison,3.57,3.25,6.83,0.452,0.377,0.254,0.157,,,,,,,
06/14/2026,Colorado Rockies,Athletics,Tomoyuki Sugano,Jeffrey Springs,5.24,5.67,10.91,0.556,0.847,0.752,0.645,,,,,,,
06/14/2026,Chicago Cubs,San Francisco Giants,Ryan Rolison,Logan Webb,3.59,3.97,7.56,0.554,0.484,0.353,0.242,,,,,,,
06/14/2026,Tampa Bay Rays,Los Angeles Angels,Casey Legumina,Grayson Rodriguez,4.96,4.35,9.31,0.421,0.713,0.588,0.458,,,,,,,
06/14/2026,Texas Rangers,Boston Red Sox,Nathan Eovaldi,Connelly Early,4.65,4.81,9.47,0.525,0.724,0.599,0.474,,,,,,,
06/18/2026,Toronto Blue Jays,Boston Red Sox,Trey Yesavage,Sonny Gray,3.81,3.79,7.60,0.499,0.459,0.359,0.277,,,,,,,
06/18/2026,Cleveland Guardians,Milwaukee Brewers,Parker Messick,Shane Drohan,3.03,4.79,7.82,0.679,0.475,0.380,0.295,,,,,,,
06/18/2026,Minnesota Twins,Texas Rangers,Joe Ryan,Jack Leiter,4.65,3.64,8.29,0.398,0.534,0.437,0.348,,,,,,,
06/18/2026,Baltimore Orioles,Seattle Mariners,Shane Baz,Bryan Woo,3.81,4.07,7.88,0.522,0.496,0.398,0.306,,,,,,,
06/18/2026,New York Mets,Philadelphia Phillies,Sean Manaea,Aaron Nola,4.17,3.95,8.13,0.473,0.514,0.420,0.333,,,,,,,
06/18/2026,Chicago White Sox,New York Yankees,Sean Burke,Ryan Weathers,4.98,5.63,10.61,0.558,0.716,0.631,0.542,,,,,,,
06/18/2026,San Francisco Giants,Atlanta Braves,Landen Roupp,Martín Pérez,4.14,4.10,8.24,0.504,0.518,0.422,0.334,,,,,,,
06/18/2026,St. Louis Cardinals,Kansas City Royals,Matthew Liberatore,Noah Cameron,4.21,4.36,8.57,0.507,0.542,0.449,0.361,,,,,,,
07/02/2026,Pittsburgh Pirates,Philadelphia Phillies,Jared Jones,Alan Rangel,4.48,6.25,10.73,0.640,0.715,0.632,0.548,5.76,0.572,0.137,0.291,0.582,0.709,0.428
07/02/2026,Cincinnati Reds,Milwaukee Brewers,Chase Burns,Jacob Misiorowski,2.48,4.81,7.29,0.743,0.420,0.326,0.246,3.65,0.583,0.185,0.232,0.316,0.768,0.417
07/02/2026,Miami Marlins,Colorado Rockies,Ryan Gusto,Michael Lorenzen,5.86,6.46,12.32,0.545,0.800,0.732,0.658,6.75,0.462,0.119,0.419,0.675,0.581,0.538
07/02/2026,Chicago White Sox,Cleveland Guardians,Davis Martin,Slade Cecconi,5.00,3.74,8.74,0.383,0.570,0.474,0.386,4.81,0.340,0.157,0.503,0.475,0.497,0.660
